category,model,origin_MAE_mean,origin_MAE_std,origin_MAE_iqr,n_origins
electronic,event_ridge,1.610869380621036,1.4673487334346385,1.4456055194270054,428
electronic,event_random_forest,1.6302476332837688,1.4112913838951122,1.3713312621443414,143
electronic,rolling_average,1.8566043613707168,1.5483471447999115,1.4536458333333346,428
electronic,seasonal_naive,2.6400817757009345,2.9234529389727495,2.455937499999998,428
electronic,time_regression,2.882152912325503,2.7667364137122656,2.76128739973993,428
fitness,event_random_forest,1.3840928947758082,1.2060462980307016,1.253378096418319,143
fitness,event_ridge,1.4076330726915844,1.2970535857294003,1.3444220698832312,428
fitness,rolling_average,1.6908464758566977,1.3721557554435742,1.4801041666666714,428
fitness,seasonal_naive,1.8656308411214952,2.099365356063264,1.979375,428
fitness,time_regression,1.997308950877885,1.8056912151482347,2.213727491568512,428
school,event_ridge,1.726930355342186,1.026848475528709,1.2803865720163938,428
school,seasonal_naive,1.7620560747663554,1.5328789130491487,2.3137499999999993,428
school,event_random_forest,1.8600293229296354,1.0932145250203305,1.3994822894574435,143
school,rolling_average,2.1654083917445486,0.7036549216920129,0.9027083333333392,428
school,time_regression,2.176166435218009,1.0842611609013708,1.196704470174308,428
